plot	gid	female	male	type	N	rep	row	col	SDM	SRA	NAE
1	1	1	1	parent	low	1	1	1	0.311	0.119	0.275
2	1	1	1	parent	low	2	1	2	0.136	0.133	0.113
3	1	1	1	parent	ideal	1	1	3	0.593	0.119	0.067
4	1	1	1	parent	ideal	2	1	4	0.416	0.138	0.053
5	2	2	2	parent	low	1	2	1	0.394	0.119	0.32
6	2	2	2	parent	low	2	2	2	0.449	0.107	0.408
7	2	2	2	parent	ideal	1	2	3	0.763	0.097	0.08
8	2	2	2	parent	ideal	2	2	4	1.03	0.129	0.127
9	3	3	3	parent	low	1	3	1	0.336	0.111	0.28
10	3	3	3	parent	low	2	3	2	0.182	0.092	0.182
11	3	3	3	parent	ideal	1	3	3	0.488	0.106	0.046
12	3	3	3	parent	ideal	2	3	4	0.465	0.111	0.053
13	4	4	4	parent	low	1	4	1	0.191	0.15	0.171
14	4	4	4	parent	low	2	4	2	0.229	0.124	0.198
15	4	4	4	parent	ideal	1	4	3	0.542	0.115	0.044
16	4	4	4	parent	ideal	2	4	4	0.393	0.128	0.045
17	5	5	5	parent	low	1	5	1	0.2	0.132	0.183
18	5	5	5	parent	low	2	5	2	0.179	0.117	0.165
19	5	5	5	parent	ideal	1	5	3	0.549	0.128	0.054
20	5	5	5	parent	ideal	2	5	4	0.545	0.149	0.066
21	6	6	6	parent	low	1	6	1	0.252	0.104	0.189
22	6	6	6	parent	low	2	6	2	0.479	0.101	0.406
23	6	6	6	parent	ideal	1	6	3	0.792	0.107	0.081
24	6	6	6	parent	ideal	2	6	4	0.356	0.129	0.04
25	7	7	7	parent	low	1	7	1	0.166	0.145	0.159
26	7	7	7	parent	low	2	7	2	0.126	0.115	0.116
27	7	7	7	parent	ideal	1	7	3	0.34	0.113	0.035
28	7	7	7	parent	ideal	2	7	4	0.258	0.105	0.028
29	8	8	8	parent	low	1	8	1	0.172	0.114	0.096
30	8	8	8	parent	low	2	8	2	0.24	0.088	0.166
31	8	8	8	parent	ideal	1	8	3	0.345	0.087	0.033
32	8	8	8	parent	ideal	2	8	4	0.277	0.118	0.03
33	9	9	9	parent	low	1	9	1	0.142	0.119	0.1
34	9	9	9	parent	low	2	9	2	0.277	0.112	0.218
35	9	9	9	parent	ideal	1	9	3	0.506	0.107	0.054
36	9	9	9	parent	ideal	2	9	4	0.362	0.145	0.041
37	10	10	10	parent	low	1	10	1	0.32	0.131	0.125
38	10	10	10	parent	low	2	10	2	0.233	0.1	0.249
39	10	10	10	parent	ideal	1	10	3	0.427	0.105	0.044
40	10	10	10	parent	ideal	2	10	4	0.386	0.126	0.044
41	11	11	11	parent	low	1	11	1	0.132	0.141	0.109
42	11	11	11	parent	low	2	11	2	0.286	0.11	0.198
43	11	11	11	parent	ideal	1	11	3	0.425	0.095	0.037
44	11	11	11	parent	ideal	2	11	4	0.394	0.112	0.046
45	12	12	12	parent	low	1	12	1	0.177	0.138	0.16
46	12	12	12	parent	low	2	12	2	0.31	0.107	0.234
47	12	12	12	parent	ideal	1	12	3	0.453	0.107	0.045
48	12	12	12	parent	ideal	2	12	4	0.551	0.129	0.062
49	13	13	13	parent	low	1	13	1	0.172	0.125	0.182
50	13	13	13	parent	low	2	13	2	0.358	0.114	0.318
51	13	13	13	parent	ideal	1	13	3	0.543	0.111	0.048
52	13	13	13	parent	ideal	2	13	4	0.302	0.156	0.036
53	14	14	14	parent	low	1	14	1	0.145	0.112	0.133
54	14	14	14	parent	low	2	14	2	0.129	0.12	0.143
55	14	14	14	parent	ideal	1	14	3	0.116	0.112	0.013
56	14	14	14	parent	ideal	2	14	4	0.065	0.141	0.008
57	18	1	8	sc	low	1	15	1	0.437	0.121	0.318
58	18	1	8	sc	low	2	15	2	0.415	0.1	0.316
59	18	1	8	sc	ideal	1	15	3	0.963	0.117	0.105
60	18	1	8	sc	ideal	2	15	4	0.641	0.112	0.079
61	19	1	9	sc	low	1	16	1	0.412	0.102	0.312
62	19	1	9	sc	low	2	16	2	0.578	0.106	0.445
63	19	1	9	sc	ideal	1	16	3	1.166	0.096	0.108
64	19	1	9	sc	ideal	2	16	4	1.14	0.117	0.127
65	28	2	8	sc	low	1	17	1	0.386	0.114	0.264
66	28	2	8	sc	low	2	17	2	0.462	0.107	0.429
67	28	2	8	sc	ideal	1	17	3	0.825	0.109	0.084
68	28	2	8	sc	ideal	2	17	4	0.806	0.107	0.078
69	38	3	8	sc	low	1	18	1	0.486	0.13	0.349
70	38	3	8	sc	low	2	18	2	0.496	0.107	0.222
71	38	3	8	sc	ideal	1	18	3	0.836	0.125	0.073
72	38	3	8	sc	ideal	2	18	4	0.836	0.125	0.073
73	39	3	9	sc	low	1	19	1	0.486	0.13	0.349
